nbFacilities, deadline, successRatio, storage score, total requests, success requests, fail requests, total files, fetch counter, total storage score
40,250.0,0.6582383665716999,0.9474853564936376,25604,16635,8637,9902,9382,9382
50,250.0,0.617657007554403,0.9202127659574468,26923,16434,10173,9964,9169,9169
100,250.0,0.9451388306350138,1.0930278296784344,35989,33801,1962,20338,22230,22230
30,250.0,0.9189653690813784,1.0524359379943056,23459,21388,1886,12644,13307,13307
35,250.0,0.9661173313205015,1.0494814174589455,24039,23039,808,13884,14571,14571
45,250.0,0.7361449571574562,0.9780976220275344,25701,18729,6713,11186,10941,10941
60,250.0,0.8147613175973225,0.993613662456946,28693,23127,5258,13936,13847,13847
70,250.0,0.8129663405737025,1.0014330558209363,30524,24515,5640,14654,14675,14675
80,250.0,0.9105342268428634,1.0187584497521407,32215,29077,2857,17752,18085,18085
90,250.0,0.9679250225572663,1.0501899620075985,34614,33255,1102,20004,21008,21008
110,250.0,0.963409815336793,1.0850293984622343,38181,36572,1389,22110,23990,23990
120,250.0,0.9854521492295215,1.089638227569262,39664,38882,574,23606,25722,25722
130,250.0,0.9847568352286474,1.1066644887291734,41531,40700,630,24488,27100,27100
140,250.0,0.9947955738934734,1.106967117081934,42853,42434,222,25606,28345,28345
150,250.0,1.0,1.1241137398313308,44935,44748,0,26798,30124,30124
1,500.0,0.07964703185881275,0.0,18243,1390,16062,822,0,0
2,500.0,0.19592760180995475,0.26893576222435284,18473,3464,14216,2086,561,561
3,500.0,0.34926263649667905,0.41958985429034,18473,6205,11561,3706,1555,1555
4,500.0,0.4306503974028882,0.536923076923077,18560,7694,10172,4550,2443,2443
5,500.0,0.39178690344062156,0.5839944003733084,18726,7060,10960,4286,2503,2503
6,500.0,0.4800461107756491,0.6760030280090841,18824,8745,9472,5284,3572,3572
7,500.0,0.6034519725557461,0.7291420118343195,19241,11258,7398,6760,4929,4929
8,500.0,0.5297748922356448,0.7584138620459847,19433,9955,8836,6002,4552,4552
9,500.0,0.6948374155405406,0.7934040940106141,19494,13163,5781,7914,6279,6279
10,500.0,0.7169174086582745,0.8128979014383401,20015,14010,5532,8482,6895,6895
11,500.0,0.7654517453798768,0.8474350433044637,19948,14911,4569,9006,7632,7632
12,500.0,0.7608729061011219,0.8677491601343785,20025,14853,4668,8930,7749,7749
13,500.0,0.7525027808676307,0.88164141985078,20275,14883,4895,8846,7799,7799
14,500.0,0.8737506837054348,0.8830962186447023,20560,17572,2539,10684,9435,9435
15,500.0,0.8210468757767063,0.9178403755868545,20545,16517,3600,9798,8993,8993
16,500.0,0.9053678513968114,0.9232416993930739,20915,18570,1941,11204,10344,10344
17,500.0,0.9079784158797456,0.9649687220732797,21116,18846,1910,11190,10798,10798
18,500.0,0.9032069970845481,0.9486240171551108,20969,18588,1992,11192,10617,10617
19,500.0,0.9264921664221138,0.9757189598760118,21487,19574,1553,11614,11332,11332
20,500.0,0.9423420879224325,0.9866779089376054,21592,20021,1225,11860,11702,11702
25,500.0,0.9802519118308592,1.011579754601227,22467,21791,439,13040,13191,13191
40,500.0,0.8844801810174149,0.933072053059994,25272,21890,2859,13268,12380,12380
50,500.0,0.9391920191904961,0.9972980462796176,26701,24666,1597,14434,14395,14395
100,500.0,0.9978874218207088,1.1020331678066149,36246,35899,76,21346,23524,23524
30,500.0,0.9839961625675911,1.0261718172408694,23158,22565,367,13526,13880,13880
35,500.0,1.0,1.0423265974877116,24393,24205,0,14648,15268,15268
45,500.0,0.9280561359246264,0.9883771296563673,25791,23542,1825,13852,13691,13691
60,500.0,0.9470152138013422,0.9901911468812877,28897,26953,1508,15904,15748,15748
70,500.0,0.9615713627689676,1.0318573893041978,30744,29226,1168,17390,17944,17944
80,500.0,0.9977337638147274,1.0536641062902221,32471,32139,73,19268,20302,20302
90,500.0,0.9977001326846529,1.0428795452317945,34204,33837,78,20406,21281,21281
110,500.0,0.9971249068256842,1.1085693861138415,37804,37456,108,22382,24812,24812
120,500.0,0.999949368370421,1.1114022483306567,39747,39499,2,23662,26298,26298
130,500.0,1.0,1.1222531977697605,41146,40928,0,24392,27374,27374
140,500.0,1.0,1.1007687038587413,43489,43306,0,26278,28926,28926
150,500.0,1.0,1.1398678414096917,44591,44391,0,26332,30015,30015
1,1000.0,0.13052196633651333,0.0,18022,2148,14309,1298,0,0
2,1000.0,0.36948274823869454,0.2534611288604899,17951,6136,10471,3756,952,952
3,1000.0,0.49012461791676465,0.42262861736334406,18174,8338,8674,4976,2103,2103
4,1000.0,0.5928174580445615,0.5220682989690721,18637,10350,7109,6208,3241,3241
5,1000.0,0.7276011560693642,0.6009554940910233,19056,13091,4901,7954,4780,4780
6,1000.0,0.6065925382401084,0.6173047473200612,18922,10747,6970,6530,4031,4031
7,1000.0,0.8158503026967528,0.7228545413157296,19135,14824,3346,8786,6351,6351
8,1000.0,0.7826016785022595,0.7227868112014454,19417,14547,4041,8856,6401,6401
9,1000.0,0.8046996827445286,0.7831338652482269,19542,14965,3632,9024,7067,7067
10,1000.0,0.8423901618667228,0.7856410256410257,19817,16029,2999,9750,7660,7660
11,1000.0,0.8678395860284606,0.8267677762458144,20166,16771,2554,10154,8395,8395
12,1000.0,0.7965691324953637,0.8375482211744535,20210,15463,3949,9332,7816,7816
13,1000.0,0.9446474150442921,0.8760654026787268,20497,18875,1106,11498,10073,10073
14,1000.0,0.9528989122842032,0.8644770959377701,20625,19098,944,11570,10002,10002
15,1000.0,0.9729008011077045,0.8875813720580872,20801,19674,548,11982,10635,10635
16,1000.0,0.9263627353815659,0.9020664076298128,20811,18694,1486,11324,10215,10215
17,1000.0,0.9691035683202786,0.9385026737967914,21198,20043,639,11968,11232,11232
18,1000.0,0.9895331288642227,0.9555864550956977,21068,20326,215,12226,11683,11683
19,1000.0,0.9812550549502831,0.9901815181518152,21587,20625,394,12120,12001,12001
20,1000.0,0.995013061030634,0.95929957406531,21435,20950,105,12678,12162,12162
25,1000.0,0.994262919636054,1.0076318573371619,22695,22183,128,13234,13335,13335
40,1000.0,0.9565948028526928,0.924873828406633,25104,23339,1059,13870,12828,12828
50,1000.0,0.9836121029881602,0.9560845213849287,27102,26169,436,15712,15022,15022
100,1000.0,1.0,1.084503788578821,36053,35778,0,21644,23473,23473
30,1000.0,0.999913528470751,1.0363176895306858,23392,23127,2,13850,14353,14353
35,1000.0,1.0,1.0597742789466351,24248,24051,0,14354,15212,15212
45,1000.0,0.9474743488555644,0.9044046130332083,26029,24009,1331,14394,13018,13018
60,1000.0,0.9937257666549172,0.9487613928487965,28897,28192,178,17116,16239,16239
70,1000.0,0.9983773759851646,1.000389841835598,30660,30149,49,17956,17963,17963
80,1000.0,0.9998128217126814,1.0324587079238972,32420,32049,6,19132,19753,19753
90,1000.0,1.0,1.0622237501227778,34299,34007,0,20362,21629,21629
110,1000.0,1.0,1.0802626939351199,37850,37554,0,22688,24509,24509
120,1000.0,1.0,1.0903280067283432,39546,39311,0,23780,25928,25928
130,1000.0,1.0,1.1418560291922375,41271,41039,0,24116,27537,27537
140,1000.0,1.0,1.1364137713700464,43100,42892,0,25386,28849,28849
150,1000.0,1.0,1.1207331552389432,45091,44897,0,26952,30206,30206
